Epoch: [1][48/100]	Time 0.242	Total_Loss 46.641	CrossLoss 2.912	RegLoss 43.729	image/sec 123.7	remaining 80m
Epoch: [1][49/100]	Time 0.243	Total_Loss 46.450	CrossLoss 2.731	RegLoss 43.719	image/sec 123.4	remaining 80m
Epoch: [1][50/100]	Time 0.238	Total_Loss 45.792	CrossLoss 2.082	RegLoss 43.710	image/sec 126.2	remaining 79m
Epoch: [1][51/100]	Time 0.229	Total_Loss 46.841	CrossLoss 3.140	RegLoss 43.700	image/sec 131.1	remaining 76m
Epoch: [1][52/100]	Time 0.237	Total_Loss 45.999	CrossLoss 2.308	RegLoss 43.691	image/sec 126.6	remaining 78m
Epoch: [1][53/100]	Time 0.245	Total_Loss 46.308	CrossLoss 2.627	RegLoss 43.681	image/sec 122.3	remaining 81m
Epoch: [1][54/100]	Time 0.234	Total_Loss 46.086	CrossLoss 2.414	RegLoss 43.672	image/sec 128.4	remaining 77m
Epoch: [1][55/100]	Time 0.228	Total_Loss 46.107	CrossLoss 2.445	RegLoss 43.662	image/sec 131.8	remaining 75m
Epoch: [1][56/100]	Time 0.227	Total_Loss 45.963	CrossLoss 2.311	RegLoss 43.652	image/sec 132.0	remaining 75m
Epoch: [1][57/100]	Time 0.226	Total_Loss 46.107	CrossLoss 2.465	RegLoss 43.642	image/sec 132.9	remaining 75m
Epoch: [1][58/100]	Time 0.246	Total_Loss 45.851	CrossLoss 2.219	RegLoss 43.632	image/sec 122.1	remaining 81m
Epoch: [1][59/100]	Time 0.256	Total_Loss 45.948	CrossLoss 2.327	RegLoss 43.622	image/sec 117.3	remaining 84m
Epoch: [1][60/100]	Time 0.251	Total_Loss 45.799	CrossLoss 2.188	RegLoss 43.611	image/sec 119.4	remaining 83m
Epoch: [1][61/100]	Time 0.234	Total_Loss 45.945	CrossLoss 2.344	RegLoss 43.601	image/sec 128.3	remaining 77m
Epoch: [1][62/100]	Time 0.226	Total_Loss 45.591	CrossLoss 2.000	RegLoss 43.591	image/sec 132.8	remaining 75m
Epoch: [1][63/100]	Time 0.251	Total_Loss 45.903	CrossLoss 2.323	RegLoss 43.580	image/sec 119.5	remaining 83m
Epoch: [1][64/100]	Time 0.237	Total_Loss 46.066	CrossLoss 2.496	RegLoss 43.570	image/sec 126.5	remaining 78m
Epoch: [1][65/100]	Time 0.261	Total_Loss 46.115	CrossLoss 2.556	RegLoss 43.559	image/sec 115.0	remaining 86m
Epoch: [1][66/100]	Time 0.258	Total_Loss 46.136	CrossLoss 2.588	RegLoss 43.548	image/sec 116.4	remaining 85m
Epoch: [1][67/100]	Time 0.248	Total_Loss 46.142	CrossLoss 2.605	RegLoss 43.538	image/sec 120.8	remaining 82m
Epoch: [1][68/100]	Time 0.227	Total_Loss 46.292	CrossLoss 2.765	RegLoss 43.527	image/sec 132.0	remaining 75m
Epoch: [1][69/100]	Time 0.229	Total_Loss 46.502	CrossLoss 2.986	RegLoss 43.516	image/sec 131.2	remaining 75m
Epoch: [1][70/100]	Time 0.251	Total_Loss 45.367	CrossLoss 1.862	RegLoss 43.505	image/sec 119.7	remaining 83m
Epoch: [1][71/100]	Time 0.256	Total_Loss 45.724	CrossLoss 2.230	RegLoss 43.494	image/sec 117.0	remaining 85m
Epoch: [1][72/100]	Time 0.254	Total_Loss 46.176	CrossLoss 2.693	RegLoss 43.482	image/sec 118.3	remaining 84m
Epoch: [1][73/100]	Time 0.230	Total_Loss 46.222	CrossLoss 2.751	RegLoss 43.471	image/sec 130.3	remaining 76m
Epoch: [1][74/100]	Time 0.236	Total_Loss 45.994	CrossLoss 2.534	RegLoss 43.460	image/sec 127.0	remaining 78m
Epoch: [1][75/100]	Time 0.251	Total_Loss 45.747	CrossLoss 2.298	RegLoss 43.449	image/sec 119.6	remaining 83m
Epoch: [1][76/100]	Time 0.253	Total_Loss 45.537	CrossLoss 2.100	RegLoss 43.437	image/sec 118.6	remaining 83m
Epoch: [1][77/100]	Time 0.254	Total_Loss 46.130	CrossLoss 2.704	RegLoss 43.426	image/sec 118.2	remaining 84m
Epoch: [1][78/100]	Time 0.244	Total_Loss 45.535	CrossLoss 2.121	RegLoss 43.414	image/sec 122.8	remaining 81m
Epoch: [1][79/100]	Time 0.237	Total_Loss 45.689	CrossLoss 2.286	RegLoss 43.402	image/sec 126.4	remaining 78m
Epoch: [1][80/100]	Time 0.228	Total_Loss 45.492	CrossLoss 2.101	RegLoss 43.391	image/sec 131.4	remaining 75m
Epoch: [1][81/100]	Time 0.236	Total_Loss 46.100	CrossLoss 2.721	RegLoss 43.379	image/sec 127.3	remaining 78m
Epoch: [1][82/100]	Time 0.225	Total_Loss 45.902	CrossLoss 2.535	RegLoss 43.367	image/sec 133.4	remaining 74m
Epoch: [1][83/100]	Time 0.235	Total_Loss 45.946	CrossLoss 2.591	RegLoss 43.355	image/sec 127.5	remaining 78m
Epoch: [1][84/100]	Time 0.232	Total_Loss 45.334	CrossLoss 1.991	RegLoss 43.343	image/sec 129.2	remaining 77m
Epoch: [1][85/100]	Time 0.233	Total_Loss 45.712	CrossLoss 2.381	RegLoss 43.331	image/sec 128.9	remaining 77m
Epoch: [1][86/100]	Time 0.225	Total_Loss 45.204	CrossLoss 1.885	RegLoss 43.319	image/sec 133.0	remaining 74m
Epoch: [1][87/100]	Time 0.236	Total_Loss 45.915	CrossLoss 2.608	RegLoss 43.307	image/sec 127.2	remaining 78m
Epoch: [1][88/100]	Time 0.254	Total_Loss 45.840	CrossLoss 2.545	RegLoss 43.295	image/sec 118.3	remaining 84m
Epoch: [1][89/100]	Time 0.229	Total_Loss 46.032	CrossLoss 2.750	RegLoss 43.282	image/sec 131.0	remaining 76m
Epoch: [1][90/100]	Time 0.243	Total_Loss 45.805	CrossLoss 2.535	RegLoss 43.270	image/sec 123.3	remaining 80m
Epoch: [1][91/100]	Time 0.249	Total_Loss 45.953	CrossLoss 2.695	RegLoss 43.258	image/sec 120.7	remaining 82m
Epoch: [1][92/100]	Time 0.246	Total_Loss 45.493	CrossLoss 2.248	RegLoss 43.245	image/sec 122.1	remaining 81m
Epoch: [1][93/100]	Time 0.227	Total_Loss 45.800	CrossLoss 2.567	RegLoss 43.233	image/sec 132.3	remaining 75m
Epoch: [1][94/100]	Time 0.234	Total_Loss 45.635	CrossLoss 2.414	RegLoss 43.220	image/sec 127.9	remaining 77m
Epoch: [1][95/100]	Time 0.235	Total_Loss 45.719	CrossLoss 2.511	RegLoss 43.207	image/sec 127.8	remaining 77m
Epoch: [1][96/100]	Time 0.228	Total_Loss 45.324	CrossLoss 2.130	RegLoss 43.195	image/sec 131.7	remaining 75m
Epoch: [1][97/100]	Time 0.251	Total_Loss 46.022	CrossLoss 2.840	RegLoss 43.182	image/sec 119.4	remaining 83m
Epoch: [1][98/100]	Time 0.227	Total_Loss 45.810	CrossLoss 2.641	RegLoss 43.169	image/sec 131.9	remaining 75m
Epoch: [1][99/100]	Time 0.264	Total_Loss 45.647	CrossLoss 2.491	RegLoss 43.156	image/sec 113.8	remaining 87m
